Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;388;2.2%;498;2.82%;11.571;65.6%;3.016;17.1%;1.162;6.59%;1.004;5.69%;17.639
TOTAL ESTADO DISTRITO FEDERAL;;;;;388;2.2%;498;2.82%;11.571;65.6%;3.016;17.1%;1.162;6.59%;1.004;5.69%;17.639
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;4;2.99%;2;1.49%;55;41.04%;19;14.18%;16;11.94%;38;28.36%;134
CENTRO-OESTE;52;GO;520010;ABADIANIA;8;3.88%;4;1.94%;113;54.85%;33;16.02%;17;8.25%;31;15.05%;206
CENTRO-OESTE;52;GO;520013;ACREUNA;16;4.22%;20;5.28%;245;64.64%;57;15.04%;25;6.6%;16;4.22%;379
CENTRO-OESTE;52;GO;520015;ADELANDIA;8;8.33%;8;8.33%;70;72.92%;8;8.33%;1;1.04%;1;1.04%;96
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;16;9.76%;14;8.54%;98;59.76%;22;13.41%;5;3.05%;9;5.49%;164
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;1.67%;1;1.67%;33;55%;10;16.67%;9;15%;6;10%;60
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;146;3.7%;118;2.99%;2.487;63.11%;648;16.44%;310;7.87%;232;5.89%;3.941
CENTRO-OESTE;52;GO;520030;ALEXANIA;30;5.07%;24;4.05%;356;60.14%;88;14.86%;47;7.94%;47;7.94%;592
CENTRO-OESTE;52;GO;520050;ALOANDIA;2;3.92%;3;5.88%;30;58.82%;7;13.73%;5;9.8%;4;7.84%;51
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;5;4.72%;3;2.83%;66;62.26%;15;14.15%;3;2.83%;14;13.21%;106
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;11;2.81%;9;2.3%;283;72.19%;54;13.78%;19;4.85%;16;4.08%;392
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;12;2.53%;20;4.21%;314;66.11%;83;17.47%;27;5.68%;19;4%;475
CENTRO-OESTE;52;GO;520082;AMARALINA;6;3.75%;5;3.13%;101;63.13%;31;19.38%;11;6.88%;6;3.75%;160
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;8;6.25%;6;4.69%;83;64.84%;18;14.06%;9;7.03%;4;3.13%;128
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;2;2.3%;3;3.45%;45;51.72%;15;17.24%;12;13.79%;10;11.49%;87
CENTRO-OESTE;52;GO;520110;ANAPOLIS;216;4.22%;157;3.06%;2.897;56.55%;954;18.62%;488;9.53%;411;8.02%;5.123
CENTRO-OESTE;52;GO;520120;ANHANGUERA;2;11.11%;0;-;14;77.78%;2;11.11%;0;-;0;-;18
CENTRO-OESTE;52;GO;520130;ANICUNS;23;3.41%;14;2.08%;435;64.54%;104;15.43%;44;6.53%;54;8.01%;674
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;54;1.68%;77;2.4%;2.172;67.6%;567;17.65%;220;6.85%;123;3.83%;3.213
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;0;-;1;1.04%;34;35.42%;22;22.92%;24;25%;15;15.63%;96
CENTRO-OESTE;52;GO;520150;APORE;0;-;3;4.92%;42;68.85%;5;8.2%;3;4.92%;8;13.11%;61
CENTRO-OESTE;52;GO;520160;ARACU;2;1.77%;5;4.42%;68;60.18%;29;25.66%;6;5.31%;3;2.65%;113
CENTRO-OESTE;52;GO;520170;ARAGARCAS;2;0.58%;16;4.65%;201;58.43%;65;18.9%;39;11.34%;21;6.1%;344
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;18;6%;16;5.33%;177;59%;47;15.67%;23;7.67%;19;6.33%;300
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;7;5.3%;7;5.3%;70;53.03%;23;17.42%;8;6.06%;17;12.88%;132
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;3;3.37%;1;1.12%;54;60.67%;18;20.22%;6;6.74%;7;7.87%;89
CENTRO-OESTE;52;GO;520250;ARUANA;0;-;3;3.33%;50;55.56%;13;14.44%;8;8.89%;16;17.78%;90
CENTRO-OESTE;52;GO;520260;AURILANDIA;1;0.98%;3;2.94%;69;67.65%;16;15.69%;8;7.84%;5;4.9%;102
