,nome_municipio,area_desmatada,codigo_municipio,uf,ano
0,Peixoto de Azevedo,69.19,5106422,Mato Grosso,2008
1,Pau D'Arco,10.78,1505551,Pará,2008
2,Mâncio Lima,4.31,1200336,Acre,2008
3,Alto Alegre,36.39,1400050,Roraima,2008
4,Pedra Preta,0.0,5106372,Mato Grosso,2008
5,Itaituba,169.96,1503606,Pará,2008
6,Redenção,8.25,1506138,Pará,2008
7,Iracema,102.4,1400282,Roraima,2008
8,Santo Antônio do Leverger,1.33,5107800,Mato Grosso,2008
9,Porto Esperidião,6.69,5106828,Mato Grosso,2008
10,Nova Brasilândia,3.68,5106208,Mato Grosso,2008
11,Caracaraí,42.2,1400209,Roraima,2008
12,Ponte Branca,0.0,5106703,Mato Grosso,2008
13,Cuiabá,0.0,5103403,Mato Grosso,2008
14,Tucumã,9.84,1508084,Pará,2008
15,Alto Paraguai,0.56,5100508,Mato Grosso,2008
16,São Pedro da Cipa,0.0,5107404,Mato Grosso,2008
17,Porto Estrela,0.2,5106851,Mato Grosso,2008
18,Porto de Moz,22.31,1505908,Pará,2008
19,Denise,0.89,5103452,Mato Grosso,2008
20,Cáceres,13.92,5102504,Mato Grosso,2008
21,Tesouro,0.0,5108105,Mato Grosso,2008
22,Araguaiana,3.72,5101001,Mato Grosso,2008
23,Matupá,75.18,5105606,Mato Grosso,2008
24,Conquista D'Oeste,1.67,5103361,Mato Grosso,2008
25,Vale de São Domingos,0.89,5108352,Mato Grosso,2008
26,Juscimeira,1.46,5105200,Mato Grosso,2008
27,Nova Guarita,3.25,5108808,Mato Grosso,2008
28,Bonfim,19.51,1400159,Roraima,2008
29,Tapauá,3.06,1304104,Amazonas,2008
30,Salto do Céu,1.43,5107750,Mato Grosso,2008
31,Campo Verde,1.66,5102678,Mato Grosso,2008
32,Eirunepé,3.11,1301407,Amazonas,2008
33,Curvelândia,0.62,5103437,Mato Grosso,2008
34,Acorizal,0.0,5100102,Mato Grosso,2008
35,Várzea Grande,0.0,5108402,Mato Grosso,2008
36,Rosário Oeste,0.25,5107701,Mato Grosso,2008
37,Rio Branco,0.0,5107206,Mato Grosso,2008
38,Santo Antônio do Leste,0.0,5107792,Mato Grosso,2008
39,Chapada dos Guimarães,0.14,5103007,Mato Grosso,2008
40,Novo São Joaquim,0.0,5106281,Mato Grosso,2008
41,Glória D'Oeste,0.64,5103957,Mato Grosso,2008
42,São José do Povo,0.01,5107297,Mato Grosso,2008
43,Mirassol d'Oeste,6.4,5105622,Mato Grosso,2008
44,Nova Bandeirantes,125.01,5106158,Mato Grosso,2008
45,Poconé,0.0,5106505,Mato Grosso,2008
46,Conceição do Araguaia,46.98,1502707,Pará,2008
47,Barra do Bugres,8.61,5101704,Mato Grosso,2008
48,Guiratinga,0.14,5104203,Mato Grosso,2008
49,Dom Aquino,0.13,5103601,Mato Grosso,2008
50,Lambari D'Oeste,2.16,5105234,Mato Grosso,2008
51,São José dos Quatro Marcos,1.68,5107107,Mato Grosso,2008
52,Poxoréu,4.93,5107008,Mato Grosso,2008
53,Floresta do Araguaia,20.5,1503044,Pará,2008
54,Barão de Melgaço,4.53,5101605,Mato Grosso,2008
55,Araputanga,0.25,5101258,Mato Grosso,2008
56,Nova Olímpia,4.27,5106232,Mato Grosso,2008
57,Rondonópolis,0.45,5107602,Mato Grosso,2008
58,Nova Xavantina,0.14,5106257,Mato Grosso,2008
59,Pontal do Araguaia,0.0,5106653,Mato Grosso,2008
60,Jangada,0.0,5104906,Mato Grosso,2008
61,Amapá,1.89,1600105,Amapá,2008
62,Guajará,3.46,1301654,Amazonas,2008
63,Vila Bela da Santíssima Trindade,36.44,5105507,Mato Grosso,2008
64,Araguainha,0.0,5101209,Mato Grosso,2008
65,Capixaba,8.83,1200179,Acre,2008
66,Jauru,1.75,5105002,Mato Grosso,2008
67,Ribeirãozinho,0.0,5107198,Mato Grosso,2008
68,Reserva do Cabaçal,0.87,5107156,Mato Grosso,2008
69,Figueirópolis D'Oeste,0.91,5103809,Mato Grosso,2008
70,Alto Garças,0.0,5100409,Mato Grosso,2008
71,Nossa Senhora do Livramento,0.11,5106109,Mato Grosso,2008
72,Jaciara,0.35,5104807,Mato Grosso,2008
73,Manaus,2.96,1302603,Amazonas,2008
74,Pontes e Lacerda,31.1,5106752,Mato Grosso,2008
75,Ipixuna,5.27,1301803,Amazonas,2008
76,Primavera do Leste,0.0,5107040,Mato Grosso,2008
77,Maraã,3.01,1302801,Amazonas,2008
78,Torixoréu,0.0,5108204,Mato Grosso,2008
79,General Carneiro,0.0,5103908,Mato Grosso,2008
80,Nova Rosalândia,0.0,1715002,Tocantins,2008
81,São Gabriel da Cachoeira,9.09,1303809,Amazonas,2008
82,Ipiranga do Norte,3.88,5104526,Mato Grosso,2008
83,Araguaína,2.31,1702109,Tocantins,2008
84,São Geraldo do Araguaia,7.76,1507458,Pará,2008
85,Augusto Corrêa,0.31,1500909,Pará,2008
86,Uarini,6.7,1304260,Amazonas,2008
87,Vilhena,59.82,1100304,Rondônia,2008
88,Nova Lacerda,19.13,5106182,Mato Grosso,2008
89,Itaporã do Tocantins,0.7,1711100,Tocantins,2008
90,Lucas do Rio Verde,7.37,5105259,Mato Grosso,2008
91,Nova Maringá,17.88,5108907,Mato Grosso,2008
92,Goianésia do Pará,35.81,1503093,Pará,2008
93,Bujari,15.77,1200138,Acre,2008
94,Rio Maria,15.35,1506161,Pará,2008
95,Divinópolis do Tocantins,0.0,1707108,Tocantins,2008
96,Jacareacanga,23.31,1503754,Pará,2008
97,Barrolândia,0.0,1703107,Tocantins,2008
98,Diamantino,5.08,5103502,Mato Grosso,2008
99,Santa Fé do Araguaia,1.87,1718865,Tocantins,2008
100,Santa Carmem,24.18,5107248,Mato Grosso,2008
101,Bannach,48.2,1501253,Pará,2008
102,Canabrava do Norte,25.54,5102694,Mato Grosso,2008
103,Pedra Branca do Amapari,3.66,1600154,Amapá,2008
104,Oliveira de Fátima,0.0,1715507,Tocantins,2008
105,Caseara,2.61,1703909,Tocantins,2008
106,Santa Cruz do Arari,0.0,1506401,Pará,2008
107,Tapurah,10.13,5108006,Mato Grosso,2008
108,Parauapebas,27.96,1505536,Pará,2008
109,Limoeiro do Ajuru,0.08,1504000,Pará,2008
110,Theobroma,7.11,1101609,Rondônia,2008
111,São Félix do Xingu,758.84,1507300,Pará,2008
112,Comodoro,44.9,5103304,Mato Grosso,2008
113,Goianorte,0.47,1708304,Tocantins,2008
114,Governador Jorge Teixeira,3.66,1101005,Rondônia,2008
115,Tabaporã,65.78,5107941,Mato Grosso,2008
116,Epitaciolândia,4.34,1200252,Acre,2008
117,Vera,5.95,5108501,Mato Grosso,2008
118,Novo Mundo,42.03,5106265,Mato Grosso,2008
119,Bernardo Sayão,0.98,1703206,Tocantins,2008
120,Rolim de Moura,3.2,1100288,Rondônia,2008
121,Seringueiras,42.58,1101500,Rondônia,2008
122,Autazes,40.55,1300300,Amazonas,2008
123,Ferreira Gomes,2.57,1600238,Amapá,2008
124,Palmas,0.0,1721000,Tocantins,2008
125,São Francisco do Brejão,2.34,2110856,Maranhão,2008
126,Sambaíba,0.0,2109700,Maranhão,2008
127,Novo Alegre,0.0,1715150,Tocantins,2008
128,Santa Luzia D'Oeste,3.63,1100296,Rondônia,2008
129,Tartarugalzinho,13.72,1600709,Amapá,2008
130,Arenápolis,0.23,5101308,Mato Grosso,2008
131,Gurupi,0.0,1709500,Tocantins,2008
132,Lagoa da Confusão,8.01,1711902,Tocantins,2008
133,Boa Vista,2.35,1400100,Roraima,2008
134,Gurupá,3.61,1503101,Pará,2008
135,São Pedro da Água Branca,0.3,2111532,Maranhão,2008
136,Jaú do Tocantins,0.0,1711506,Tocantins,2008
137,Araguaçu,0.0,1702000,Tocantins,2008
138,Sandolândia,0.0,1718840,Tocantins,2008
139,Altamira,339.62,1500602,Pará,2008
140,Aliança do Tocantins,0.0,1700350,Tocantins,2008
141,São Sebastião do Uatumã,5.53,1303957,Amazonas,2008
142,Porto dos Gaúchos,29.88,5106802,Mato Grosso,2008
143,Sapezal,6.66,5107875,Mato Grosso,2008
144,Bragança,1.18,1501709,Pará,2008
145,Nova Santa Helena,16.89,5106190,Mato Grosso,2008
146,Alto Paraíso,14.32,1100403,Rondônia,2008
147,Araguanã,0.58,1702158,Tocantins,2008
148,São José do Rio Claro,18.29,5107305,Mato Grosso,2008
149,Pimenteiras do Oeste,6.45,1101468,Rondônia,2008
150,Mocajuba,0.5,1504604,Pará,2008
151,Iranduba,1.92,1301852,Amazonas,2008
152,Urucará,2.06,1304302,Amazonas,2008
153,Santa Isabel do Rio Negro,1.34,1303601,Amazonas,2008
154,Senador Guiomard,4.9,1200450,Acre,2008
155,Figueirópolis,0.0,1707652,Tocantins,2008
156,Coari,3.15,1301209,Amazonas,2008
157,Carauari,2.28,1301001,Amazonas,2008
158,Nova Mutum,10.24,5106224,Mato Grosso,2008
159,Nova Nazaré,11.04,5106174,Mato Grosso,2008
160,Brasil Novo,16.81,1501725,Pará,2008
161,Apuí,70.15,1300144,Amazonas,2008
162,Santa Terezinha,41.56,5107776,Mato Grosso,2008
163,Campinápolis,0.0,5102603,Mato Grosso,2008
164,Nova Mamoré,64.97,1100338,Rondônia,2008
165,Castanheiras,4.96,1100908,Rondônia,2008
166,União do Sul,38.98,5108303,Mato Grosso,2008
167,Alvorada,0.0,1700707,Tocantins,2008
168,Caroebe,38.07,1400233,Roraima,2008
169,Coroatá,24.24,2103604,Maranhão,2008
170,Pastos Bons,0.0,2108009,Maranhão,2008
171,Lago do Junco,0.0,2105807,Maranhão,2008
172,Matões do Norte,8.24,2106631,Maranhão,2008
173,Cantanhede,11.34,2102705,Maranhão,2008
174,Arame,36.46,2100956,Maranhão,2008
175,Conceição do Tocantins,0.0,1705607,Tocantins,2008
176,Tufilândia,0.0,2112274,Maranhão,2008
177,Governador Newton Bello,0.0,2104651,Maranhão,2008
178,Maranhãozinho,0.0,2106375,Maranhão,2008
179,Igarapé Grande,0.0,2105203,Maranhão,2008
180,Monção,12.32,2106904,Maranhão,2008
181,Peritoró,10.66,2108454,Maranhão,2008
182,Sucupira do Norte,0.0,2111904,Maranhão,2008
183,Formosa da Serra Negra,0.74,2104099,Maranhão,2008
184,Nova Iorque,0.0,2107308,Maranhão,2008
185,Santa Filomena do Maranhão,2.65,2109759,Maranhão,2008
186,Carutapera,1.02,2102903,Maranhão,2008
187,Rio Branco,28.85,1200401,Acre,2008
188,Satubinha,0.0,2111722,Maranhão,2008
189,Cujubim,48.59,1100940,Rondônia,2008
190,Fernando Falcão,5.83,2104081,Maranhão,2008
191,Pirapemas,8.23,2108801,Maranhão,2008
192,Centro do Guilherme,1.11,2103158,Maranhão,2008
193,Oiapoque,11.66,1600501,Amapá,2008
194,Darcinópolis,0.55,1706506,Tocantins,2008
195,Alcântara,1.87,2100204,Maranhão,2008
196,Arari,9.74,2101004,Maranhão,2008
197,Cumaru do Norte,182.7,1502764,Pará,2008
