,codigo_municipio_ibge,nome_municipio,nome_uf,ano,pop,municipio,valor
0,1100015,Alta Floresta D'oeste,Rondônia,2008,25440,Alta Floresta D'Oeste,210.0
1,1100023,Ariquemes,Rondônia,2008,88293,Ariquemes,1156.0
2,1100031,Cabixi,Rondônia,2008,6687,Cabixi,0.0
3,1100049,Cacoal,Rondônia,2008,78105,Cacoal,31.0
4,1100056,Cerejeiras,Rondônia,2008,17598,Cerejeiras,4.0
5,1100064,Colorado do Oeste,Rondônia,2008,19737,Colorado do Oeste,3.0
6,1100072,Corumbiara,Rondônia,2008,9328,Corumbiara,3.0
7,1100080,Costa Marques,Rondônia,2008,13016,Costa Marques,292.0
8,1100098,Espigão D'oeste,Rondônia,2008,28589,Espigão D'Oeste,861.0
9,1100106,Guajará-Mirim,Rondônia,2008,41901,Guajará-Mirim,1153.0
10,1100114,Jaru,Rondônia,2008,53387,Jaru,73.0
11,1100122,Ji-Paraná,Rondônia,2008,116039,Ji-Paraná,58.0
12,1100130,Machadinho D'oeste,Rondônia,2008,29898,Machadinho D'Oeste,3072.0
13,1100148,Nova Brasilândia D'oeste,Rondônia,2008,19961,Nova Brasilândia D'Oeste,26.0
14,1100155,Ouro Preto do Oeste,Rondônia,2008,39539,Ouro Preto do Oeste,26.0
15,1100189,Pimenta Bueno,Rondônia,2008,33925,Pimenta Bueno,25.0
16,1100205,Porto Velho,Rondônia,2008,414197,Porto Velho,22374.0
17,1100254,Presidente Médici,Rondônia,2008,23703,Presidente Médici,24.0
18,1100262,Rio Crespo,Rondônia,2008,3288,Rio Crespo,660.0
19,1100288,Rolim de Moura,Rondônia,2008,50403,Rolim de Moura,12.0
20,1100296,Santa Luzia D'oeste,Rondônia,2008,9628,Santa Luzia D'Oeste,1.0
21,1100304,Vilhena,Rondônia,2008,71512,Vilhena,18.0
22,1100320,São Miguel do Guaporé,Rondônia,2008,21681,São Miguel do Guaporé,65.0
23,1100338,Nova Mamoré,Rondônia,2008,20857,Nova Mamoré,1797.0
24,1100346,Alvorada D'oeste,Rondônia,2008,17974,Alvorada D'Oeste,113.0
25,1100379,Alto Alegre dos Parecis,Rondônia,2008,13132,Alto Alegre dos Parecis,2.0
26,1100403,Alto Paraíso,Rondônia,2008,16590,Alto Paraíso,1705.0
27,1100452,Buritis,Rondônia,2008,31938,Buritis,1240.0
28,1100502,Novo Horizonte do Oeste,Rondônia,2008,10954,Novo Horizonte do Oeste,3.0
29,1100601,Cacaulândia,Rondônia,2008,5788,Cacaulândia,75.0
30,1100700,Campo Novo de Rondônia,Rondônia,2008,12797,Campo Novo de Rondônia,1665.0
31,1100809,Candeias do Jamari,Rondônia,2008,18448,Candeias do Jamari,4388.0
32,1100908,Castanheiras,Rondônia,2008,3776,Castanheiras,27.0
33,1100924,Chupinguaia,Rondônia,2008,7713,Chupinguaia,18.0
34,1100940,Cujubim,Rondônia,2008,13645,Cujubim,2084.0
35,1101005,Governador Jorge Teixeira,Rondônia,2008,11417,Governador Jorge Teixeira,242.0
36,1101104,Itapuã do Oeste,Rondônia,2008,8316,Itapuã do Oeste,1072.0
37,1101203,Ministro Andreazza,Rondônia,2008,10772,Ministro Andreazza,2.0
38,1101302,Mirante da Serra,Rondônia,2008,12551,Mirante da Serra,17.0
39,1101401,Monte Negro,Rondônia,2008,14207,Monte Negro,350.0
40,1101435,Nova União,Rondônia,2008,7870,Nova União,15.0
41,1101450,Parecis,Rondônia,2008,4649,Parecis,3.0
42,1101468,Pimenteiras do Oeste,Rondônia,2008,2371,Pimenteiras do Oeste,34.0
43,1101476,Primavera de Rondônia,Rondônia,2008,3747,Primavera de Rondônia,5.0
44,1101484,São Felipe D'oeste,Rondônia,2008,6382,São Felipe D'Oeste,1.0
45,1101492,São Francisco do Guaporé,Rondônia,2008,15440,São Francisco do Guaporé,197.0
46,1101500,Seringueiras,Rondônia,2008,12840,Seringueiras,84.0
47,1101559,Teixeirópolis,Rondônia,2008,5160,Teixeirópolis,0.0
48,1101609,Theobroma,Rondônia,2008,11067,Theobroma,326.0
49,1101708,Urupá,Rondônia,2008,13718,Urupá,11.0
50,1101757,Vale do Anari,Rondônia,2008,9307,Vale do Anari,824.0
51,1101807,Vale do Paraíso,Rondônia,2008,8806,Vale do Paraíso,23.0
52,1200013,Acrelândia,Acre,2008,12356,Acrelândia,263.0
53,1200054,Assis Brasil,Acre,2008,5866,Assis Brasil,3.0
54,1200104,Brasiléia,Acre,2008,20749,Brasiléia,4.0
55,1200138,Bujari,Acre,2008,8215,Bujari,60.0
56,1200179,Capixaba,Acre,2008,8340,Capixaba,62.0
57,1200203,Cruzeiro do Sul,Acre,2008,80649,Cruzeiro do Sul,13469.0
58,1200252,Epitaciolândia,Acre,2008,14703,Epitaciolândia,1.0
59,1200302,Feijó,Acre,2008,33978,Feijó,10.0
60,1200328,Jordão,Acre,2008,6250,Jordão,232.0
61,1200336,Mâncio Lima,Acre,2008,14632,Mâncio Lima,4444.0
62,1200344,Manoel Urbano,Acre,2008,7778,Manoel Urbano,2.0
63,1200351,Marechal Thaumaturgo,Acre,2008,13298,Marechal Thaumaturgo,69.0
64,1200385,Plácido de Castro,Acre,2008,17470,Plácido de Castro,395.0
65,1200393,Porto Walter,Acre,2008,8626,Porto Walter,153.0
66,1200401,Rio Branco,Acre,2008,338094,Rio Branco,229.0
67,1200427,Rodrigues Alves,Acre,2008,13717,Rodrigues Alves,3103.0
68,1200435,Santa Rosa do Purus,Acre,2008,4130,Santa Rosa do Purus,1.0
