Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso (5-10 anos);;Obesidade (5-10 anos);;Obesidade grave (5-10 anos);;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;207;1.98%;432;4.14%;6.846;65.63%;1.497;14.35%;890;8.53%;560;5.37%;10.432
TOTAL ESTADO DISTRITO FEDERAL;;;;;207;1.98%;432;4.14%;6.846;65.63%;1.497;14.35%;890;8.53%;560;5.37%;10.432
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;3;3.57%;5;5.95%;52;61.9%;8;9.52%;10;11.9%;6;7.14%;84
CENTRO-OESTE;52;GO;520010;ABADIANIA;8;3.9%;6;2.93%;121;59.02%;37;18.05%;21;10.24%;12;5.85%;205
CENTRO-OESTE;52;GO;520013;ACREUNA;0;-;8;6.02%;90;67.67%;17;12.78%;12;9.02%;6;4.51%;133
CENTRO-OESTE;52;GO;520015;ADELANDIA;0;-;2;4.17%;30;62.5%;8;16.67%;6;12.5%;2;4.17%;48
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;3;3.03%;4;4.04%;51;51.52%;20;20.2%;17;17.17%;4;4.04%;99
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;2.04%;2;4.08%;24;48.98%;11;22.45%;5;10.2%;6;12.24%;49
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;57;2.38%;129;5.38%;1.728;72.09%;248;10.35%;144;6.01%;91;3.8%;2.397
CENTRO-OESTE;52;GO;520030;ALEXANIA;1;7.69%;0;-;6;46.15%;2;15.38%;2;15.38%;2;15.38%;13
CENTRO-OESTE;52;GO;520050;ALOANDIA;0;-;3;10.71%;19;67.86%;2;7.14%;4;14.29%;0;-;28
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;5;10.87%;1;2.17%;27;58.7%;5;10.87%;2;4.35%;6;13.04%;46
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;3;4.62%;0;-;38;58.46%;14;21.54%;6;9.23%;4;6.15%;65
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;2;5.26%;1;2.63%;23;60.53%;4;10.53%;8;21.05%;0;-;38
CENTRO-OESTE;52;GO;520082;AMARALINA;0;-;2;4.35%;34;73.91%;4;8.7%;6;13.04%;0;-;46
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;0;-;3;13.64%;12;54.55%;2;9.09%;2;9.09%;3;13.64%;22
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;1;2.38%;0;-;23;54.76%;8;19.05%;1;2.38%;9;21.43%;42
CENTRO-OESTE;52;GO;520110;ANAPOLIS;57;2.06%;104;3.76%;1.662;60.04%;474;17.12%;288;10.4%;183;6.61%;2.768
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;1;2.27%;18;40.91%;15;34.09%;7;15.91%;3;6.82%;44
CENTRO-OESTE;52;GO;520130;ANICUNS;15;3.3%;16;3.52%;227;50%;106;23.35%;49;10.79%;41;9.03%;454
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;10;2.62%;19;4.99%;277;72.7%;44;11.55%;21;5.51%;10;2.62%;381
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;0;-;1;5.88%;10;58.82%;4;23.53%;1;5.88%;1;5.88%;17
CENTRO-OESTE;52;GO;520150;APORE;0;-;2;2.63%;44;57.89%;15;19.74%;7;9.21%;8;10.53%;76
CENTRO-OESTE;52;GO;520160;ARACU;0;-;1;3.7%;13;48.15%;3;11.11%;5;18.52%;5;18.52%;27
CENTRO-OESTE;52;GO;520170;ARAGARCAS;3;2.21%;7;5.15%;87;63.97%;20;14.71%;11;8.09%;8;5.88%;136
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;2;1.3%;6;3.9%;86;55.84%;29;18.83%;24;15.58%;7;4.55%;154
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;2;4%;5;10%;30;60%;5;10%;6;12%;2;4%;50
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;0;-;4;10.26%;21;53.85%;7;17.95%;4;10.26%;3;7.69%;39
CENTRO-OESTE;52;GO;520250;ARUANA;0;-;0;-;2;100%;0;-;0;-;0;-;2
CENTRO-OESTE;52;GO;520260;AURILANDIA;1;4.17%;2;8.33%;13;54.17%;2;8.33%;3;12.5%;3;12.5%;24
