"Compet�ncia";"AC";"AL";"AP";"AM";"BA";"CE";"DF";"ES";"GO";"MA";"MT";"MS";"MG";"PA";"PB";"PR";"PE";"PI";"RJ";"RN";"RS";"RO";"RR";"SC";"SP";"SE";"TO";"SEM_IDENTIFICACAO";"TOTAL"
"Jun/25";7376;57344;8486;59088;229583;170111;154802;185534;301380;50606;62895;98202;879039;97933;76611;468324;203120;40585;1151105;94239;451729;21654;3884;214510;2863213;48730;11473;3952;8015508
"Mar/25";7245;57458;8321;57546;225672;167881;152900;182635;297876;49994;62379;97200;872541;95058;75746;463262;202185;40122;1143112;92585;449230;21271;3794;211791;2832417;48264;11265;3972;7933722
"Dez/24";7181;57195;8138;57007;222983;166122;151831;180343;295609;49516;62034;96299;864195;94372;75017;458592;200745;39849;1139540;91491;447210;21043;3770;210662;2816031;48038;11123;4005;7879941
"Set/24";7146;56488;8047;45865;221218;164461;148215;178449;291234;49157;61528;95237;854911;93805;74245;453401;199230;39424;1135061;90082;444820;20733;3676;208978;2794752;47729;10990;4133;7803015
"Jun/24";7068;56208;7912;44859;218671;161862;143449;173924;284153;48671;61108;93975;851781;92359;73303;449146;197603;38388;1125554;88527;441903;20463;3614;207837;2779524;47202;10780;4283;7734127
"Mar/24";6967;55829;7844;44579;216633;159552;142080;174787;279629;48151;60668;92726;843881;91432;72630;444622;196296;37506;1195079;87194;437999;20071;3607;205644;2760243;46700;10910;4445;7747704
"Dez/23";6903;55842;7876;43588;214710;157829;140225;172493;275577;47759;60311;90847;835922;90687;71911;440927;195086;37014;1189964;85859;436175;19837;3553;204536;2744806;46426;10824;4525;7692012
"Set/23";6838;55413;7843;42859;212640;155399;138672;169152;271226;47195;59757;90472;827829;89838;71240;436455;193998;36453;1163382;85022;433880;19403;3584;203205;2723093;45959;10665;4611;7606083
"Jun/23";6766;54918;7959;42419;210347;153374;136592;167117;266742;46479;59025;89349;818367;88636;70190;431901;191547;35867;1092767;83550;430445;19218;3478;201289;2702432;45492;10517;4647;7471430
"Mar/23";6725;54663;7778;42063;207694;151915;135370;164774;262424;46075;58185;87976;809260;87671;69456;427075;189744;35222;1092886;82537;427327;19118;3441;199755;2682001;45000;10351;4695;7411181
"Dez/22";6742;54189;7758;41591;205679;150422;134523;162704;258490;45759;57264;86668;802878;87015;68833;423297;187394;34495;1086051;81335;425031;19186;3404;198159;2665822;44771;10271;4765;7354496
"Set/22";6707;53734;7695;41298;202043;149074;132995;160847;254499;45212;56487;85663;798344;86260;68293;418799;185999;34272;1079280;80096;422510;19053;3318;196464;2648774;44200;10116;4839;7296871
"Jun/22";6756;53184;7622;40374;199836;147067;129410;160359;249595;44525;55774;84603;788235;85174;67880;413971;183369;33631;1066098;78854;419875;19436;3378;194591;2629780;43863;9975;4858;7222073
"Mar/22";6739;52533;7671;40013;196610;145378;131995;157571;245541;44295;55107;83759;778737;84604;67534;409471;181121;32725;1059891;77454;416975;19291;3368;192880;2609281;43529;9824;4864;7158761
"Dez/21";6716;52075;7661;39633;195624;144437;133071;154955;241734;44253;54414;82970;772527;84305;67259;403287;180928;32529;1042186;77867;415069;19137;3291;191359;2593103;43252;9766;4870;7098278
"Set/21";6677;51536;7604;39085;193835;143122;132460;153124;237568;43743;53659;82171;764951;83191;66751;399052;179233;32072;1036248;74215;412478;19126;3335;189528;2571456;42853;9617;4879;7033569
"Jun/21";6687;51114;6773;38411;194701;142173;133232;151539;236790;43337;53021;81364;757332;82509;66395;395748;177931;31515;1031663;72764;411494;18931;3330;185244;2556443;42575;9535;4927;6987478
"Mar/21";6701;50373;7565;38462;193043;141739;132792;149938;234745;43164;52417;80717;752104;82588;65858;393068;177064;31275;1023907;71538;411318;18981;3342;183730;2545909;42292;9433;4932;6948995
"Dez/20";6807;50299;7597;38447;191178;140750;132660;148372;232561;42697;52152;80382;747518;82648;65905;390114;176140;30955;1020739;70485;410133;19079;3371;182129;2531069;41925;9441;4969;6910522
"Set/20";6739;49967;7534;37856;190679;139475;130924;146911;228716;49298;51611;79712;740438;81770;65684;386264;174346;30420;1011916;68590;408844;18929;3322;180613;2510918;41570;9001;4850;6856897
"Jun/20";6680;49555;7595;37917;190143;138707;128118;145216;224908;48891;50821;78681;730335;81235;65650;382765;172891;30453;1007340;67721;407097;18712;3377;178884;2499197;41081;9239;4825;6808034
"Mar/20";6623;48912;7581;38472;189648;138621;126640;143967;221370;48731;50280;77679;726248;80956;65331;379785;172148;29529;1007746;66977;407527;18733;3384;177721;2489964;40661;8883;5647;6779764
"Dez/19";6445;48532;7571;37117;187363;137582;122275;142515;109755;48686;49484;76886;721445;80123;65148;376437;170904;29547;1001098;66110;404775;18658;3243;176448;2477817;39997;8231;5574;6619766
"Set/19";6507;48919;7822;37297;188578;137971;123919;141545;109614;49180;49467;78626;720270;80671;65240;374922;169951;30117;999629;66501;405018;19017;3398;179978;2466031;39694;8726;9719;6618327
"Jun/19";6491;48809;7834;37597;187224;137904;123371;140101;107474;48927;49326;77683;710564;80139;65025;372449;168830;30699;996743;66397;403834;18840;3370;180602;2450376;39632;8666;9469;6578376
"Mar/19";6431;48347;7758;37554;186523;139053;122098;140229;105643;48594;48976;76553;706461;79612;64677;369271;167810;30150;990145;65873;402168;18797;3331;178663;2436102;39263;8538;9095;6537715
