Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso;;Obesidade;;Obesidade Grave;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;723;1.08%;2.728;4.08%;44.736;66.83%;11.531;17.23%;5.774;8.63%;1.443;2.16%;66.935
TOTAL ESTADO DISTRITO FEDERAL;;;;;723;1.08%;2.728;4.08%;44.736;66.83%;11.531;17.23%;5.774;8.63%;1.443;2.16%;66.935
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;5;1.62%;10;3.25%;184;59.74%;61;19.81%;37;12.01%;11;3.57%;308
CENTRO-OESTE;52;GO;520010;ABADIANIA;4;0.57%;17;2.44%;441;63.36%;125;17.96%;88;12.64%;21;3.02%;696
CENTRO-OESTE;52;GO;520013;ACREUNA;6;0.75%;27;3.38%;500;62.58%;161;20.15%;82;10.26%;23;2.88%;799
CENTRO-OESTE;52;GO;520015;ADELANDIA;2;1.27%;8;5.06%;99;62.66%;25;15.82%;19;12.03%;5;3.16%;158
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;3;0.7%;10;2.34%;273;63.79%;84;19.63%;53;12.38%;5;1.17%;428
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;0.72%;5;3.62%;72;52.17%;30;21.74%;24;17.39%;6;4.35%;138
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;62;0.86%;256;3.56%;4.877;67.85%;1.259;17.52%;594;8.26%;140;1.95%;7.188
CENTRO-OESTE;52;GO;520030;ALEXANIA;21;1.16%;65;3.6%;1.166;64.6%;328;18.17%;178;9.86%;47;2.6%;1.805
CENTRO-OESTE;52;GO;520050;ALOANDIA;0;-;3;3.8%;44;55.7%;22;27.85%;10;12.66%;0;-;79
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;1;0.29%;14;4.08%;227;66.18%;58;16.91%;36;10.5%;7;2.04%;343
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;4;0.85%;15;3.2%;303;64.61%;94;20.04%;32;6.82%;21;4.48%;469
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;11;1.52%;39;5.39%;489;67.54%;119;16.44%;52;7.18%;14;1.93%;724
CENTRO-OESTE;52;GO;520082;AMARALINA;1;0.57%;5;2.84%;115;65.34%;34;19.32%;19;10.8%;2;1.14%;176
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;0;-;5;4.31%;79;68.1%;18;15.52%;12;10.34%;2;1.72%;116
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;0;-;2;1.8%;75;67.57%;15;13.51%;15;13.51%;4;3.6%;111
CENTRO-OESTE;52;GO;520110;ANAPOLIS;119;1.1%;422;3.9%;6.975;64.41%;2.005;18.52%;1.046;9.66%;262;2.42%;10.829
CENTRO-OESTE;52;GO;520120;ANHANGUERA;2;1.59%;8;6.35%;71;56.35%;28;22.22%;14;11.11%;3;2.38%;126
CENTRO-OESTE;52;GO;520130;ANICUNS;13;1.07%;44;3.63%;749;61.85%;234;19.32%;143;11.81%;28;2.31%;1.211
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;109;0.8%;542;3.99%;8.727;64.23%;2.431;17.89%;1.422;10.47%;356;2.62%;13.587
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;1;0.42%;4;1.68%;143;60.08%;45;18.91%;32;13.45%;13;5.46%;238
CENTRO-OESTE;52;GO;520150;APORE;5;1.41%;13;3.67%;213;60.17%;56;15.82%;51;14.41%;16;4.52%;354
CENTRO-OESTE;52;GO;520160;ARACU;1;0.38%;7;2.64%;158;59.62%;53;20%;31;11.7%;15;5.66%;265
CENTRO-OESTE;52;GO;520170;ARAGARCAS;3;1.79%;3;1.79%;100;59.52%;31;18.45%;26;15.48%;5;2.98%;168
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;7;1.18%;23;3.88%;409;68.97%;81;13.66%;64;10.79%;9;1.52%;593
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;2;1.29%;6;3.87%;93;60%;22;14.19%;23;14.84%;9;5.81%;155
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;3;1.8%;9;5.39%;106;63.47%;30;17.96%;15;8.98%;4;2.4%;167
CENTRO-OESTE;52;GO;520250;ARUANA;1;0.5%;8;4%;105;52.5%;48;24%;30;15%;8;4%;200
