latitude,longitude,distancia_km,municipio,uf
-0.11909,-67.084,784,São Gabriel da Cachoeira,AM
-1.88237,-66.9291,780,Japurá,AM
-2.86582,-67.7919,757,Tonantins,AM
-2.75814,-66.7595,739,Jutaí,AM
-3.09544,-67.9463,727,Santo Antônio do Içá,AM
-3.37455,-68.2005,685,Amaturá,AM
-2.52342,-66.0942,678,Fonte Boa,AM
-3.48438,-66.0718,634,Juruá,AM
-1.85313,-65.573,633,Maraã,AM
-3.47292,-68.9646,618,São Paulo de Olivença,AM
-7.14347,-55.3786,616,Novo Progresso,PA
-0.410824,-65.0092,601,Santa Isabel do Rio Negro,AM
-4.10028,-54.9092,578,Rurópolis,PA
-2.99609,-65.1133,566,Uarini,AM
-13.4823,-61.0471,559,Pimenteiras do Oeste,RO
-4.88161,-66.9086,544,Carauari,AM
-12.9551,-60.8947,541,Corumbiara,RO
-3.86813,-54.2124,536,Placas,PA
-12.5611,-60.8877,536,Chupinguaia,RO
-13.187,-60.8168,532,Cerejeiras,RO
-3.22727,-64.8007,531,Alvarães,AM
-3.60841,-55.3199,525,Aveiro,PA
-2.63609,-54.9374,523,Belterra,PA
-3.36822,-64.7193,522,Tefé,AM
-9.46121,-59.2252,519,Colniza,MT
-1.90107,-55.5208,518,Óbidos,PA
-13.4945,-60.552,505,Cabixi,RO
-13.1174,-60.5454,503,Colorado do Oeste,RO
-10.1723,-59.4568,503,Aripuanã,MT
-2.6822,-54.6425,499,Mojuí dos Campos,PA
-3.71519,-53.7396,499,Uruará,PA
-1.88775,-55.1168,498,Curuá,PA
-2.43849,-54.6996,488,Santarém,PA
-1.75989,-55.8579,487,Oriximiná,PA
-4.2416,-69.9383,483,Tabatinga,AM
-4.57347,-55.9429,481,Trairão,PA
-4.2667,-55.9926,465,Itaituba,PA
-4.37768,-70.0342,465,Benjamin Constant,AM
-1.94623,-54.7384,464,Alenquer,PA
-12.7502,-60.1488,461,Vilhena,RO
-12.1754,-61.6032,455,Parecis,RO
-4.37055,-70.1967,454,Atalaia do Norte,AM
-7.19409,-59.896,453,Apuí,AM
-2.16347,-56.0889,450,Juruti,PA
-9.85656,-58.4192,449,Cotriguaçu,MT
-11.8295,-61.3153,443,Primavera de Rondônia,RO
-11.5266,-61.0252,440,Espigão D'Oeste,RO
-11.672,-61.198,438,Pimenta Bueno,RO
-12.132,-61.835,438,Alto Alegre dos Parecis,RO
-11.9023,-61.5026,437,São Felipe D'Oeste,RO
-3.44637,-52.8875,437,Medicilândia,PA
3.84074,-51.8331,432,Oiapoque,AP
-9.53981,-57.4587,426,Apiacás,MT
-6.21469,-57.7544,426,Jacareacanga,PA
-13.6614,-59.7848,425,Comodoro,MT
-11.9074,-61.7777,420,Santa Luzia D'Oeste,RO
-9.01241,-42.6987,420,São Raimundo Nonato,PI
-15.0068,-59.9504,418,Vila Bela da Santíssima Trindade,MT
-10.7982,-52.7486,414,São José do Xingu,MT
-9.16463,-42.5496,413,São Lourenço do Piauí,PI
-9.84977,-57.8139,413,Nova Bandeirantes,MT
-9.33939,-42.4348,413,Dirceu Arcoverde,PI
-12.4367,-64.228,410,Costa Marques,RO
-11.9283,-61.9953,409,Alta Floresta D'Oeste,RO
-2.10443,-56.4877,408,Terra Santa,PA
-9.05797,-43.0076,406,São Braz do Piauí,PI
-10.3178,-58.3592,405,Juruena,MT
-3.29792,-52.534,405,Brasil Novo,PA
-9.1605,-42.8865,404,Bonfim do Piauí,PI
-11.7271,-61.7714,404,Rolim de Moura,RO
-10.1532,-52.3953,403,Santa Cruz do Xingu,MT
-1.99768,-54.0724,403,Monte Alegre,PA
-0.983373,-62.9311,401,Barcelos,AM
-9.61944,-42.0848,400,Remanso,BA
