"NACIONAL","n"
92,70770
22,34766
24,18184
62,14238
50,13958
20,12348
45,12065
21,8908
41,4754
23,4077
52,4065
39,3374
25,3306
81,3285
30,3020
48,2969
26,2942
35,2842
100,2621
32,2561
89,2503
103,2499
42,1961
99,1818
175,1774
36,1737
51,1737
53,1513
31,1179
101,1176
110,1166
179,781
88,772
37,707
186,697
109,674
140,609
200,590
264,511
245,476
43,471
55,471
28,458
49,457
170,444
348,435
54,432
320,401
189,399
243,394
213,379
27,376
34,346
85,325
277,316
241,313
61,310
349,308
38,299
120,289
342,281
40,279
94,270
210,247
344,247
44,244
91,225
90,219
310,214
98,201
191,199
207,194
82,193
71,184
57,180
93,176
83,172
87,172
173,166
104,164
185,163
95,160
193,158
171,157
84,151
63,150
105,144
195,139
65,130
343,129
106,121
123,117
288,117
252,116
96,114
273,112
102,110
242,110
249,100
64,96
139,94
257,89
333,89
60,84
67,83
181,81
255,81
281,80
134,79
77,77
66,76
70,76
46,75
176,75
260,75
114,74
178,73
56,70
137,68
124,65
326,65
272,64
183,63
33,61
112,59
165,59
234,57
240,57
259,56
79,53
127,53
74,52
254,52
69,51
180,51
233,49
68,47
121,47
271,47
132,42
229,42
238,41
75,40
80,39
86,39
267,39
293,38
119,37
145,37
202,36
111,34
126,34
174,33
263,32
131,31
300,31
29,30
258,30
156,29
217,29
301,29
122,28
347,28
72,27
251,27
201,26
212,26
221,26
316,25
47,23
172,23
218,23
226,23
177,22
220,22
151,21
244,21
76,20
222,20
262,20
350,20
78,19
237,19
247,19
256,19
286,19
73,16
130,16
150,16
317,16
331,16
141,15
235,15
337,15
97,14
206,14
227,14
239,14
246,14
248,14
274,14
143,13
192,13
265,13
279,13
332,13
136,12
155,12
161,12
190,12
253,12
58,11
135,11
168,11
116,9
167,9
196,9
209,9
224,9
270,9
282,9
59,8
138,8
160,8
223,8
311,8
321,8
133,7
205,7
214,7
266,7
318,7
328,7
157,6
158,6
198,6
203,6
215,6
236,6
261,6
284,6
289,6
290,6
292,6
312,6
327,6
330,6
336,6
113,5
129,5
142,5
146,5
147,5
230,5
269,5
283,5
335,5
345,5
149,4
154,4
164,4
169,4
184,4
188,4
208,4
225,4
287,4
291,4
308,4
315,4
325,4
329,4
334,4
115,3
125,3
128,3
148,3
152,3
162,3
182,3
187,3
211,3
216,3
275,3
285,3
303,3
313,3
324,3
338,3
107,2
108,2
118,2
194,2
197,2
204,2
231,2
232,2
278,2
294,2
298,2
304,2
305,2
306,2
322,2
323,2
339,2
341,2
199,1
228,1
268,1
280,1
296,1
297,1
299,1
302,1
314,1
319,1
346,1
