UF;IBGE;Municipio;2022 Q1 (%);2022 Q2 (%);2022 Q3 (%);2023 Q1 (%);2023 Q2 (%);2023 Q3 (%);2024 Q1 (%);2024 Q2 (%);2024 Q3 (%);2025 Q1 (%);
RO;110004;CACOAL;8;8;7;7;8;9;9;9;9;10;
RO;110009;ESPIG�O D'OESTE;15;15;12;13;14;15;17;18;18;18;
RO;110015;OURO PRETO DO OESTE;12;13;14;17;21;24;27;27;27;26;
RO;110026;RIO CRESPO;27;26;24;27;29;29;32;34;34;35;
RO;110033;NOVA MAMOR�;10;10;10;10;11;11;12;11;10;9;
RO;110037;ALTO ALEGRE DOS PARECIS;8;8;9;15;18;21;24;25;26;27;
RO;110070;CAMPO NOVO DE ROND�NIA;11;10;11;11;13;14;11;11;11;12;
RO;110120;MINISTRO ANDREAZZA;10;11;12;11;11;11;7;7;5;5;
RO;110130;MIRANTE DA SERRA;27;29;29;29;31;31;30;26;25;25;
RO;110148;S�O FELIPE D'OESTE;18;19;19;21;21;21;24;25;25;28;
AC;120001;ACREL�NDIA;12;11;11;11;15;18;21;22;21;22;
AC;120034;MANOEL URBANO;25;27;25;30;33;34;37;36;36;37;
AC;120070;XAPURI;14;15;15;17;21;26;28;29;30;31;
AM;130070;BOCA DO ACRE;22;31;32;32;40;42;43;43;31;30;
AM;130100;CARAUARI;24;23;22;28;31;33;34;34;34;33;
AM;130130;CODAJ�S;29;36;54;61;63;66;51;50;49;52;
AM;130195;ITAMARATI;5;7;8;13;20;20;20;19;17;17;
AM;130210;JAPUR�;9;9;10;11;18;27;33;33;33;35;
AM;130240;L�BREA;64;78;79;80;79;85;82;80;77;56;
AM;130290;MAU�S;27;33;44;46;47;49;51;52;50;49;
AM;130320;NOVO AIR�O;7;52;58;59;63;64;53;52;51;61;
AM;130406;TABATINGA;10;11;13;14;15;18;21;21;21;22;
AM;130420;TEF�;36;41;47;48;50;51;51;51;51;55;
AM;130430;URUCAR�;17;25;29;34;41;45;49;49;49;49;
RR;140015;BONFIM;25;41;44;50;50;60;60;59;70;67;
RR;140028;IRACEMA;7;8;11;12;16;22;19;19;19;22;
RR;140070;UIRAMUT�;3;3;4;4;4;5;6;6;6;6;
PA;150010;ABAETETUBA;5;6;7;9;10;12;15;16;17;18;
PA;150040;ALENQUER;12;13;16;19;21;20;20;19;18;19;
PA;150172;BRASIL NOVO;6;11;16;31;34;39;41;42;42;41;
PA;150215;CANA� DOS CARAJ�S;36;40;43;45;45;46;47;47;46;45;
PA;150277;CURION�POLIS;7;8;10;21;29;34;37;39;41;44;
PA;150330;IGARAP�-MIRI;9;9;11;12;13;13;14;14;14;14;
PA;150442;MARITUBA;6;8;9;12;15;16;19;20;21;22;
PA;150460;MOCAJUBA;2;2;3;4;5;5;7;8;9;10;
PA;150520;OEIRAS DO PAR�;6;7;9;10;15;17;18;17;16;16;
PA;150560;PEIXE-BOI;12;14;15;16;16;17;17;17;16;15;
PA;150635;SANTA B�RBARA DO PAR�;9;8;8;12;16;19;20;22;23;26;
PA;150640;SANTA CRUZ DO ARARI;3;2;1;3;4;5;5;5;5;7;
PA;150690;SANTAR�M NOVO;6;5;7;10;10;13;13;12;10;11;
PA;150760;S�O MIGUEL DO GUAM�;7;10;11;14;16;18;21;23;25;26;
PA;150775;SAPUCAIA;8;11;16;17;18;20;21;23;23;23;
PA;150805;TRAIR�O;15;20;25;28;30;33;29;29;29;36;
PA;150830;VISEU;5;5;5;8;11;15;19;21;23;24;
AP;160023;FERREIRA GOMES;19;19;20;22;29;29;31;30;25;28;
TO;170040;ALMAS;6;7;10;10;13;15;18;17;16;15;
TO;170100;ANAN�S;1;2;4;14;26;71;72;71;72;71;
TO;170270;AURORA DO TOCANTINS;20;21;21;24;25;26;33;37;37;36;
TO;170305;BANDEIRANTES DO TOCANTINS;27;40;42;45;45;45;44;44;30;31;
TO;170330;BOM JESUS DO TOCANTINS;29;41;43;49;52;54;47;45;43;50;
TO;170380;BURITI DO TOCANTINS;24;34;52;57;61;65;55;56;54;65;
TO;170388;CARMOL�NDIA;13;11;10;11;13;12;10;10;9;9;
TO;170460;CHAPADA DE AREIA;23;20;35;47;55;53;52;53;49;50;
TO;170625;CRIX�S DO TOCANTINS;39;44;44;45;47;50;42;35;30;33;
TO;170755;F�TIMA;13;19;40;41;45;47;48;46;48;48;
TO;170825;FORTALEZA DO TABOC�O;7;8;9;10;12;14;15;16;15;15;
TO;171090;ITAPIRATINS;31;55;61;61;61;61;61;61;61;54;
TO;171150;JA� DO TOCANTINS;27;28;24;27;35;44;37;38;38;39;
TO;171180;JUARINA;30;33;44;51;62;66;66;71;54;50;
TO;171245;LUZIN�POLIS;17;20;23;28;29;33;35;36;40;41;
TO;171488;NOVA OLINDA;8;9;10;17;18;43;44;44;47;47;
TO;171500;NOVA ROSAL�NDIA;37;47;54;68;67;75;60;61;60;57;
TO;171525;NOVO JARDIM;84;86;86;86;86;84;83;82;18;18;
TO;171550;OLIVEIRA DE F�TIMA;34;37;38;41;43;42;41;42;40;37;
TO;171575;PALMEIR�POLIS;20;24;27;30;34;39;42;45;44;43;
TO;171670;COLM�IA;20;20;19;21;22;21;21;21;20;20;
TO;171790;PONTE ALTA DO TOCANTINS;5;5;3;3;4;5;7;8;10;12;
TO;172000;SANTA TEREZINHA DO TOCANTINS;5;11;28;29;30;37;38;39;39;41;
TO;172120;TOCANTIN�POLIS;19;20;22;26;27;31;32;33;35;31;
TO;172130;TUPIRATINS;4;11;77;77;78;77;54;55;52;52;
MA;210060;AMARANTE DO MARANH�O;13;18;31;38;40;43;44;43;42;43;
MA;210130;BACURI;19;25;27;29;34;38;39;39;38;38;
MA;210140;BALSAS;21;21;21;22;23;23;24;25;25;25;
MA;210160;BARRA DO CORDA;42;42;45;46;46;47;47;44;43;20;
MA;210173;BEL�GUA;7;12;13;13;18;20;27;26;21;21;
MA;210180;BENEDITO LEITE;14;16;11;10;11;14;15;14;13;16;
MA;210207;BOM LUGAR;7;6;7;9;10;12;13;12;12;12;
MA;210232;BURITICUPU;15;24;28;30;33;35;36;36;35;32;
MA;210255;CAMPESTRE DO MARANH�O;12;13;14;14;16;22;25;25;24;24;
MA;210275;CAPINZAL DO NORTE;11;10;10;12;16;16;17;16;16;15;
MA;210310;CEDRAL;13;72;71;71;71;70;70;70;69;66;
MA;210315;CENTRO DO GUILHERME;41;47;48;49;51;49;48;43;42;35;
MA;210340;COELHO NETO;40;42;45;48;51;52;54;54;47;47;
MA;210407;FEIRA NOVA DO MARANH�O;18;24;25;26;27;28;28;28;25;26;
MA;210570;LAGO DA PEDRA;15;18;20;27;32;35;36;36;32;29;
MA;210590;LAGO VERDE;10;16;17;18;19;20;19;21;20;19;
MA;210637;MARANH�OZINHO;20;24;30;35;46;48;37;36;33;29;
MA;210670;MIRADOR;3;5;6;6;8;11;13;14;16;17;
MA;210675;MIRANDA DO NORTE;30;29;31;32;40;42;36;37;24;32;
MA;210710;MORROS;10;10;10;10;12;17;20;20;19;19;
MA;210730;NOVA IORQUE;7;7;8;9;12;15;16;17;16;15;
MA;210805;PAULINO NEVES;32;40;59;73;78;85;85;83;78;74;
MA;210820;PEDREIRAS;12;13;15;17;24;37;39;40;40;49;
MA;210850;PINDAR�-MIRIM;7;8;9;10;13;20;27;28;28;28;
MA;210890;PO��O DE PEDRAS;5;7;8;9;15;25;26;27;26;26;
MA;210970;SAMBA�BA;17;20;21;23;27;32;35;34;35;38;
MA;211027;SANTO AMARO DO MARANH�O;22;25;27;33;39;39;41;39;40;38;
MA;211120;S�O JOS� DE RIBAMAR;17;18;17;19;21;21;22;23;22;22;
MA;211174;SENADOR ALEXANDRE COSTA;7;8;7;25;40;39;38;38;38;39;
PI;220025;ALAGOINHA DO PIAU�;17;21;33;37;41;49;53;55;55;53;
PI;220095;AROEIRAS DO ITAIM;22;25;28;28;86;85;83;80;72;69;
PI;220160;BENEDITINOS;18;17;17;21;29;36;38;38;36;37;
PI;220200;BURITI DOS LOPES;19;20;26;29;34;36;41;44;45;44;
PI;220207;CAJAZEIRAS DO PIAU�;22;21;19;18;19;21;23;22;23;24;
PI;220250;CARACOL;12;12;11;11;16;29;30;30;32;36;
PI;220272;COCAL DOS ALVES;12;23;63;62;63;73;73;73;69;66;
PI;220385;FLORESTA DO PIAU�;37;46;63;68;79;79;81;79;78;64;
PI;220400;FRANCIN�POLIS;18;50;52;67;70;72;62;63;62;74;
PI;220470;INHUMA;27;31;36;39;43;47;50;51;47;45;
PI;220490;ISA�AS COELHO;35;40;43;48;51;51;51;51;48;47;
PI;220550;JOS� DE FREITAS;15;22;29;33;43;48;52;51;49;52;
PI;220552;J�LIO BORGES;12;10;8;9;12;12;12;13;13;14;
PI;220560;LANDRI SALES;38;39;46;48;49;49;50;43;43;47;
PI;220605;MASSAP� DO PIAU�;20;44;56;58;60;59;59;60;59;61;
PI;220635;MILTON BRAND�O;13;16;18;22;25;26;28;30;30;29;
PI;220880;REGENERA��O;15;21;35;40;48;50;50;51;50;49;
PI;220950;SANTO IN�CIO DO PIAU�;68;74;75;78;80;76;66;58;53;52;
PI;220960;S�O F�LIX DO PIAU�;34;40;43;44;49;50;52;49;47;46;
PI;220995;S�O JO�O DA VARJOTA;8;14;42;45;49;50;52;53;53;52;
PI;221005;S�O JOS� DO DIVINO;21;23;25;29;31;32;37;39;39;37;
PI;221070;SIM�ES;38;45;50;51;53;53;52;51;46;43;
CE;230050;ALC�NTARAS;36;42;44;46;46;47;49;48;38;39;
CE;230060;ALTANEIRA;24;25;26;27;37;44;46;45;45;45;
CE;230120;ARACOIABA;14;18;26;29;37;40;40;41;41;43;
CE;230180;BAIXIO;15;27;56;55;54;55;53;52;50;47;
CE;230220;BEBERIBE;17;21;27;31;35;38;39;41;42;44;
CE;230270;CAMPOS SALES;19;28;30;32;33;35;35;36;35;35;
CE;230400;COREA�;21;36;39;44;47;47;47;46;44;41;
CE;230410;CRATE�S;19;20;25;27;31;32;33;33;31;30;
CE;230440;FORTALEZA;11;11;12;13;15;16;19;20;21;21;
CE;230460;GENERAL SAMPAIO;22;26;27;28;29;31;32;30;31;30;
CE;230470;GRANJA;15;21;27;28;39;54;56;56;59;57;
CE;230480;GRANJEIRO;18;22;24;35;42;44;45;45;44;44;
CE;230550;IGUATU;14;16;22;27;30;33;34;33;33;32;
CE;230580;IPU;44;47;49;50;52;53;54;54;37;35;
CE;230630;ITAPAG�;17;18;19;21;24;30;38;40;40;40;
CE;230690;JAGUARIBE;55;58;61;64;67;68;70;69;66;66;
CE;230750;LAVRAS DA MANGABEIRA;16;25;41;49;50;52;52;52;51;52;
CE;230800;MASSAP�;20;21;24;27;32;33;35;35;33;32;
CE;230960;PACAJUS;8;9;10;11;13;14;14;15;16;18;
CE;231025;PARAIPABA;21;21;22;24;30;32;38;39;40;40;
CE;231040;PARAMOTI;15;17;19;21;28;37;40;41;42;43;
CE;231085;PINDORETAMA;9;39;49;51;51;50;50;51;49;48;
CE;231123;POTIRETAMA;23;23;21;19;23;28;30;33;36;38;
CE;231195;SALITRE;35;37;38;39;40;40;39;36;34;33;
RN;240040;�GUA NOVA;28;27;30;31;32;34;35;35;36;36;
RN;240165;BOD�;16;14;12;14;15;14;17;17;14;14;
RN;240170;BOM JESUS;25;32;37;39;41;41;42;42;41;42;
