,UF,PA_MUNPCN,PA_CMP,PA_QTDPRO,PA_QTDAPR
0,RS,110000,202410,2,2
1,RS,110010,202206,1,1
2,RS,110010,202208,2,2
3,RS,110012,202401,1,1
4,RS,110020,202307,5,5
5,RS,110030,202203,4,4
6,RS,110030,202206,1,1
7,RS,110140,202201,1,1
8,RS,110140,202202,1,1
9,RS,110140,202203,5,5
10,RS,110140,202204,17,17
11,RS,110140,202205,1,1
12,RS,110140,202207,1,1
13,RS,110140,202208,2,2
14,RS,110140,202209,10,10
15,RS,110140,202210,2,2
16,RS,110140,202211,1,1
17,RS,110140,202212,4,4
18,RS,110140,202301,2,2
19,RS,110140,202302,17,17
20,RS,110140,202305,8,8
21,RS,110140,202308,2,2
22,RS,110140,202401,2,2
23,RS,110140,202403,1,1
24,RS,110140,202406,2,2
25,RS,110140,202409,6,6
26,RS,120040,202208,3,3
27,RS,120040,202302,1,1
28,RS,120040,202303,1,1
29,RS,120040,202307,1,1
30,RS,130060,202202,3,3
31,RS,130170,202203,1,1
32,RS,130170,202312,3,3
33,RS,130170,202407,3,2
34,RS,130170,202409,1,1
35,RS,130380,202409,1,1
36,RS,130406,202404,1,1
37,RS,130440,202307,2,2
38,RS,130440,202312,1,1
39,RS,140010,202209,3,3
40,RS,140010,202406,1,1
41,RS,140045,202402,1,1
42,RS,150140,202208,1,1
43,RS,150840,202302,1,1
44,RS,160015,202307,2,2
45,RS,170410,202201,1,1
46,RS,171200,202408,1,1
47,RS,172049,202301,2,2
48,RS,172100,202412,1,1
49,RS,210140,202304,1,0
50,RS,210300,202302,1,1
51,RS,210300,202303,5,5
52,RS,210300,202305,11,11
53,RS,210300,202308,3,3
54,RS,210320,202210,2,2
55,RS,210520,202412,2,2
56,RS,210540,202303,1,1
57,RS,210750,202209,2,2
58,RS,210860,202301,3,3
59,RS,211020,202209,3,3
60,RS,220390,202206,1,1
61,RS,220795,202111,1,1
62,RS,220795,202201,19,19
63,RS,220795,202206,2,2
64,RS,220795,202207,7,7
65,RS,220795,202208,5,5
66,RS,220795,202209,15,15
67,RS,220795,202304,4,4
68,RS,220795,202306,2,2
69,RS,220795,202401,1,1
70,RS,220795,202406,1,1
71,RS,230440,202211,4,3
72,RS,230560,202307,1,1
73,RS,230560,202308,3,3
74,RS,230560,202402,1,1
75,RS,230560,202403,1,1
76,RS,230560,202408,2,2
77,RS,230560,202409,2,1
78,RS,230560,202410,3,3
79,RS,230945,202410,1,1
80,RS,231120,202402,1,1
81,RS,240170,202205,1,1
82,RS,240170,202306,1,1
83,RS,241250,202303,2,2
84,RS,241250,202404,1,1
85,RS,241250,202408,1,1
86,RS,241250,202412,6,5
87,RS,241480,202306,1,1
88,RS,250360,202301,1,1
89,RS,250400,202412,1,1
90,RS,250570,202411,1,1
91,RS,250600,202208,3,3
92,RS,250600,202305,1,1
93,RS,251370,202210,1,1
94,RS,251610,202201,2,2
95,RS,251610,202202,2,2
96,RS,251610,202212,1,1
97,RS,251610,202301,1,1
98,RS,251610,202302,2,2
99,RS,251610,202303,1,1
100,RS,251610,202304,1,1
101,RS,251610,202307,1,1
102,RS,251610,202309,1,1
103,RS,251610,202310,1,1
104,RS,251610,202401,1,1
105,RS,251610,202408,1,1
106,RS,251610,202409,2,2
107,RS,251610,202410,1,1
108,RS,251610,202412,2,1
109,RS,251660,202203,16,16
110,RS,251660,202204,12,12
111,RS,251660,202303,2,2
112,RS,251680,202207,1,1
113,RS,251680,202212,1,1
114,RS,251680,202311,1,1
115,RS,251680,202408,1,1
116,RS,260310,202209,1,1
117,RS,260600,202401,1,1
118,RS,260790,202412,2,1
119,RS,261160,202212,1,1
120,RS,261570,202205,2,2
121,RS,261570,202210,2,2
122,RS,261570,202301,3,3
123,RS,261570,202307,1,1
124,RS,261570,202309,3,3
125,RS,261570,202312,1,1
126,RS,261570,202407,2,2
127,RS,261570,202411,1,1
128,RS,261640,202211,4,4
129,RS,261640,202301,1,1
130,RS,261640,202305,2,2
131,RS,261640,202312,1,1
132,RS,270915,202312,2,2
