,cod_uf,codigo_municipio_ibge,nome_municipio,codigo_municipio_ibge_novo,nome_uf,uf,regiao
0,11,1100015,Alta Floresta D'oeste,110001,Rondônia,RO,Norte
1,11,1100023,Ariquemes,110002,Rondônia,RO,Norte
2,11,1100031,Cabixi,110003,Rondônia,RO,Norte
3,11,1100049,Cacoal,110004,Rondônia,RO,Norte
4,11,1100056,Cerejeiras,110005,Rondônia,RO,Norte
5,11,1100064,Colorado do Oeste,110006,Rondônia,RO,Norte
6,11,1100072,Corumbiara,110007,Rondônia,RO,Norte
7,11,1100080,Costa Marques,110008,Rondônia,RO,Norte
8,11,1100098,Espigão D'oeste,110009,Rondônia,RO,Norte
9,11,1100106,Guajará-Mirim,110010,Rondônia,RO,Norte
10,11,1100114,Jaru,110011,Rondônia,RO,Norte
11,11,1100122,Ji-Paraná,110012,Rondônia,RO,Norte
12,11,1100130,Machadinho D'oeste,110013,Rondônia,RO,Norte
13,11,1100148,Nova Brasilândia D'oeste,110014,Rondônia,RO,Norte
14,11,1100155,Ouro Preto do Oeste,110015,Rondônia,RO,Norte
15,11,1100189,Pimenta Bueno,110018,Rondônia,RO,Norte
16,11,1100205,Porto Velho,110020,Rondônia,RO,Norte
17,11,1100254,Presidente Médici,110025,Rondônia,RO,Norte
18,11,1100262,Rio Crespo,110026,Rondônia,RO,Norte
19,11,1100288,Rolim de Moura,110028,Rondônia,RO,Norte
20,11,1100296,Santa Luzia D'oeste,110029,Rondônia,RO,Norte
21,11,1100304,Vilhena,110030,Rondônia,RO,Norte
22,11,1100320,São Miguel do Guaporé,110032,Rondônia,RO,Norte
23,11,1100338,Nova Mamoré,110033,Rondônia,RO,Norte
24,11,1100346,Alvorada D'oeste,110034,Rondônia,RO,Norte
25,11,1100379,Alto Alegre dos Parecis,110037,Rondônia,RO,Norte
26,11,1100403,Alto Paraíso,110040,Rondônia,RO,Norte
27,11,1100452,Buritis,110045,Rondônia,RO,Norte
28,11,1100502,Novo Horizonte do Oeste,110050,Rondônia,RO,Norte
29,11,1100601,Cacaulândia,110060,Rondônia,RO,Norte
30,11,1100700,Campo Novo de Rondônia,110070,Rondônia,RO,Norte
31,11,1100809,Candeias do Jamari,110080,Rondônia,RO,Norte
32,11,1100908,Castanheiras,110090,Rondônia,RO,Norte
33,11,1100924,Chupinguaia,110092,Rondônia,RO,Norte
34,11,1100940,Cujubim,110094,Rondônia,RO,Norte
35,11,1101005,Governador Jorge Teixeira,110100,Rondônia,RO,Norte
36,11,1101104,Itapuã do Oeste,110110,Rondônia,RO,Norte
37,11,1101203,Ministro Andreazza,110120,Rondônia,RO,Norte
38,11,1101302,Mirante da Serra,110130,Rondônia,RO,Norte
39,11,1101401,Monte Negro,110140,Rondônia,RO,Norte
40,11,1101435,Nova União,110143,Rondônia,RO,Norte
41,11,1101450,Parecis,110145,Rondônia,RO,Norte
42,11,1101468,Pimenteiras do Oeste,110146,Rondônia,RO,Norte
43,11,1101476,Primavera de Rondônia,110147,Rondônia,RO,Norte
44,11,1101484,São Felipe D'oeste,110148,Rondônia,RO,Norte
45,11,1101492,São Francisco do Guaporé,110149,Rondônia,RO,Norte
46,11,1101500,Seringueiras,110150,Rondônia,RO,Norte
47,11,1101559,Teixeirópolis,110155,Rondônia,RO,Norte
48,11,1101609,Theobroma,110160,Rondônia,RO,Norte
49,11,1101708,Urupá,110170,Rondônia,RO,Norte
50,11,1101757,Vale do Anari,110175,Rondônia,RO,Norte
51,11,1101807,Vale do Paraíso,110180,Rondônia,RO,Norte
52,12,1200013,Acrelândia,120001,Acre,AC,Norte
53,12,1200054,Assis Brasil,120005,Acre,AC,Norte
54,12,1200104,Brasiléia,120010,Acre,AC,Norte
55,12,1200138,Bujari,120013,Acre,AC,Norte
56,12,1200179,Capixaba,120017,Acre,AC,Norte
57,12,1200203,Cruzeiro do Sul,120020,Acre,AC,Norte
58,12,1200252,Epitaciolândia,120025,Acre,AC,Norte
59,12,1200302,Feijó,120030,Acre,AC,Norte
60,12,1200328,Jordão,120032,Acre,AC,Norte
61,12,1200336,Mâncio Lima,120033,Acre,AC,Norte
62,12,1200344,Manoel Urbano,120034,Acre,AC,Norte
63,12,1200351,Marechal Thaumaturgo,120035,Acre,AC,Norte
64,12,1200385,Plácido de Castro,120038,Acre,AC,Norte
65,12,1200393,Porto Walter,120039,Acre,AC,Norte
66,12,1200401,Rio Branco,120040,Acre,AC,Norte
67,12,1200427,Rodrigues Alves,120042,Acre,AC,Norte
68,12,1200435,Santa Rosa do Purus,120043,Acre,AC,Norte
69,12,1200450,Senador Guiomard,120045,Acre,AC,Norte
70,12,1200500,Sena Madureira,120050,Acre,AC,Norte
71,12,1200609,Tarauacá,120060,Acre,AC,Norte
72,12,1200708,Xapuri,120070,Acre,AC,Norte
73,12,1200807,Porto Acre,120080,Acre,AC,Norte
74,13,1300029,Alvarães,130002,Amazonas,AM,Norte
75,13,1300060,Amaturá,130006,Amazonas,AM,Norte
76,13,1300086,Anamã,130008,Amazonas,AM,Norte
77,13,1300102,Anori,130010,Amazonas,AM,Norte
78,13,1300144,Apuí,130014,Amazonas,AM,Norte
79,13,1300201,Atalaia do Norte,130020,Amazonas,AM,Norte
80,13,1300300,Autazes,130030,Amazonas,AM,Norte
81,13,1300409,Barcelos,130040,Amazonas,AM,Norte
82,13,1300508,Barreirinha,130050,Amazonas,AM,Norte
83,13,1300607,Benjamin Constant,130060,Amazonas,AM,Norte
84,13,1300631,Beruri,130063,Amazonas,AM,Norte
85,13,1300680,Boa Vista do Ramos,130068,Amazonas,AM,Norte
86,13,1300706,Boca do Acre,130070,Amazonas,AM,Norte
87,13,1300805,Borba,130080,Amazonas,AM,Norte
88,13,1300839,Caapiranga,130083,Amazonas,AM,Norte
89,13,1300904,Canutama,130090,Amazonas,AM,Norte
90,13,1301001,Carauari,130100,Amazonas,AM,Norte
91,13,1301100,Careiro,130110,Amazonas,AM,Norte
92,13,1301159,Careiro da Várzea,130115,Amazonas,AM,Norte
93,13,1301209,Coari,130120,Amazonas,AM,Norte
94,13,1301308,Codajás,130130,Amazonas,AM,Norte
95,13,1301407,Eirunepé,130140,Amazonas,AM,Norte
96,13,1301506,Envira,130150,Amazonas,AM,Norte
97,13,1301605,Fonte Boa,130160,Amazonas,AM,Norte
98,13,1301654,Guajará,130165,Amazonas,AM,Norte
99,13,1301704,Humaitá,130170,Amazonas,AM,Norte
100,13,1301803,Ipixuna,130180,Amazonas,AM,Norte
101,13,1301852,Iranduba,130185,Amazonas,AM,Norte
102,13,1301902,Itacoatiara,130190,Amazonas,AM,Norte
103,13,1301951,Itamarati,130195,Amazonas,AM,Norte
104,13,1302009,Itapiranga,130200,Amazonas,AM,Norte
105,13,1302108,Japurá,130210,Amazonas,AM,Norte
106,13,1302207,Juruá,130220,Amazonas,AM,Norte
107,13,1302306,Jutaí,130230,Amazonas,AM,Norte
108,13,1302405,Lábrea,130240,Amazonas,AM,Norte
109,13,1302504,Manacapuru,130250,Amazonas,AM,Norte
110,13,1302553,Manaquiri,130255,Amazonas,AM,Norte
111,13,1302603,Manaus,130260,Amazonas,AM,Norte
112,13,1302702,Manicoré,130270,Amazonas,AM,Norte
113,13,1302801,Maraã,130280,Amazonas,AM,Norte
114,13,1302900,Maués,130290,Amazonas,AM,Norte
115,13,1303007,Nhamundá,130300,Amazonas,AM,Norte
116,13,1303106,Nova Olinda do Norte,130310,Amazonas,AM,Norte
117,13,1303205,Novo Airão,130320,Amazonas,AM,Norte
118,13,1303304,Novo Aripuanã,130330,Amazonas,AM,Norte
119,13,1303403,Parintins,130340,Amazonas,AM,Norte
120,13,1303502,Pauini,130350,Amazonas,AM,Norte
121,13,1303536,Presidente Figueiredo,130353,Amazonas,AM,Norte
122,13,1303569,Rio Preto da Eva,130356,Amazonas,AM,Norte
123,13,1303601,Santa Isabel do Rio Negro,130360,Amazonas,AM,Norte
124,13,1303700,Santo Antônio do Içá,130370,Amazonas,AM,Norte
125,13,1303809,São Gabriel da Cachoeira,130380,Amazonas,AM,Norte
126,13,1303908,São Paulo de Olivença,130390,Amazonas,AM,Norte
127,13,1303957,São Sebastião do Uatumã,130395,Amazonas,AM,Norte
128,13,1304005,Silves,130400,Amazonas,AM,Norte
129,13,1304062,Tabatinga,130406,Amazonas,AM,Norte
130,13,1304104,Tapauá,130410,Amazonas,AM,Norte
131,13,1304203,Tefé,130420,Amazonas,AM,Norte
132,13,1304237,Tonantins,130423,Amazonas,AM,Norte
133,13,1304260,Uarini,130426,Amazonas,AM,Norte
134,13,1304302,Urucará,130430,Amazonas,AM,Norte
135,13,1304401,Urucurituba,130440,Amazonas,AM,Norte
136,14,1400027,Amajari,140002,Roraima,RR,Norte
137,14,1400050,Alto Alegre,140005,Roraima,RR,Norte
138,14,1400100,Boa Vista,140010,Roraima,RR,Norte
139,14,1400159,Bonfim,140015,Roraima,RR,Norte
140,14,1400175,Cantá,140017,Roraima,RR,Norte
141,14,1400209,Caracaraí,140020,Roraima,RR,Norte
142,14,1400233,Caroebe,140023,Roraima,RR,Norte
143,14,1400282,Iracema,140028,Roraima,RR,Norte
144,14,1400308,Mucajaí,140030,Roraima,RR,Norte
145,14,1400407,Normandia,140040,Roraima,RR,Norte
146,14,1400456,Pacaraima,140045,Roraima,RR,Norte
147,14,1400472,Rorainópolis,140047,Roraima,RR,Norte
148,14,1400506,São João da Baliza,140050,Roraima,RR,Norte
149,14,1400605,São Luiz,140060,Roraima,RR,Norte
150,14,1400704,Uiramutã,140070,Roraima,RR,Norte
151,15,1500107,Abaetetuba,150010,Pará,PA,Norte
152,15,1500131,Abel Figueiredo,150013,Pará,PA,Norte
153,15,1500206,Acará,150020,Pará,PA,Norte
154,15,1500305,Afuá,150030,Pará,PA,Norte
155,15,1500347,Água Azul do Norte,150034,Pará,PA,Norte
156,15,1500404,Alenquer,150040,Pará,PA,Norte
157,15,1500503,Almeirim,150050,Pará,PA,Norte
158,15,1500602,Altamira,150060,Pará,PA,Norte
159,15,1500701,Anajás,150070,Pará,PA,Norte
160,15,1500800,Ananindeua,150080,Pará,PA,Norte
161,15,1500859,Anapu,150085,Pará,PA,Norte
162,15,1500909,Augusto Corrêa,150090,Pará,PA,Norte
163,15,1500958,Aurora do Pará,150095,Pará,PA,Norte
164,15,1501006,Aveiro,150100,Pará,PA,Norte
165,15,1501105,Bagre,150110,Pará,PA,Norte
166,15,1501204,Baião,150120,Pará,PA,Norte
167,15,1501253,Bannach,150125,Pará,PA,Norte
