co_uf;sg_uf;no_uf;ano;periodo;gasto_total_saude;gasto_aps;perc_aps_sobre_total;status
12;AC;Acre;2023;2;1834739838.67;5860385.62;0.32;OK
27;AL;Alagoas;2023;2;2604615943.26;29196311.31;1.12;OK
16;AP;Amapá ;2023;2;1784881408.34;22187029.80;1.24;OK
13;AM;Amazonas;2023;2;4785289333.99;0.00;0.00;OK
29;BA;Bahia;2023;2;10035178090.43;118523584.18;1.18;OK
23;CE;Ceará;2023;2;6156388433.90;478187907.85;7.77;OK
53;DF;Distrito Federal;2023;2;4365692445.41;293627457.29;6.73;OK
32;ES;Espírito Santo;2023;2;4551653878.28;108047531.02;2.37;OK
52;GO;Goiás;2023;2;5015109547.12;104910574.69;2.09;OK
21;MA;Maranhão;2023;2;4247622924.92;27278258.91;0.64;OK
51;MT;Mato Grosso;2023;2;4027180894.19;99061869.07;2.46;OK
50;MS;Mato Grosso do Sul;2023;2;2448259097.28;73845089.28;3.02;OK
31;MG;Minas Gerais;2023;2;14154596135.27;1320175358.71;9.33;OK
41;PR;Paraná;2023;2;8525090237.99;712717121.50;8.36;OK
25;PB;Paraíba;2023;2;2719305275.50;11276373.71;0.41;OK
15;PA;Pará;2023;2;5219151579.49;59939072.63;1.15;OK
26;PE;Pernambuco;2023;2;8849879116.62;35021738.49;0.40;OK
22;PI;Piauí;2023;2;2571762182.49;152965380.53;5.95;OK
24;RN;Rio Grande do Norte;2023;2;2598211134.21;744.80;0.00;OK
43;RS;Rio Grande do Sul;2023;2;7573138301.08;545339150.25;7.20;OK
33;RJ;Rio de Janeiro;2023;2;10794058338.11;112385304.16;1.04;OK
11;RO;Rondônia;2023;2;2279210152.86;113881886.00;5.00;OK
14;RR;Roraima;2023;2;1449328480.99;9516648.41;0.66;OK
42;SC;Santa Catarina;2023;2;6727548545.46;122747421.14;1.82;OK
28;SE;Sergipe;2023;2;2312070307.79;158894.00;0.01;OK
35;SP;São Paulo;2023;2;35332073624.23;592436262.45;1.68;OK
17;TO;Tocantins;2023;2;2797886417.34;12933830.36;0.46;OK
