co_uf;sg_uf;no_uf;co_municipio;no_municipio;ano;periodo;gasto_total_saude;gasto_aps;perc_aps_sobre_total;status
12;AC;Acre;120001;Acrelândia;2023;2;14676691.31;14676691.31;100.00;OK
12;AC;Acre;120005;Assis Brasil;2023;2;7958865.26;6876989.52;86.41;OK
12;AC;Acre;120010;Brasiléia;2023;2;22623939.76;19251991.55;85.10;OK
12;AC;Acre;120013;Bujari;2023;2;10800083.04;3362109.32;31.13;OK
12;AC;Acre;120017;Capixaba;2023;2;10018002.27;8335485.87;83.21;OK
12;AC;Acre;120020;Cruzeiro do Sul;2023;2;77735171.86;60330147.08;77.61;OK
12;AC;Acre;120025;Epitaciolândia;2023;2;15990831.69;14406709.06;90.09;OK
12;AC;Acre;120030;Feijó;2023;2;23687718.82;23687718.82;100.00;OK
12;AC;Acre;120032;Jordão;2023;2;7859409.61;7759187.40;98.72;OK
12;AC;Acre;120034;Manoel Urbano;2023;2;9156362.95;8183600.69;89.38;OK
12;AC;Acre;120035;Marechal Thaumaturgo;2023;2;14723737.52;14723737.52;100.00;OK
12;AC;Acre;120033;Mâncio Lima;2023;2;13617432.20;11150572.72;81.88;OK
12;AC;Acre;120038;Plácido de Castro;2023;2;15156833.79;13970632.01;92.17;OK
12;AC;Acre;120080;Porto Acre;2023;2;14365915.64;14053602.76;97.83;OK
12;AC;Acre;120039;Porto Walter;2023;2;8839435.76;7678160.17;86.86;OK
12;AC;Acre;120040;Rio Branco;2023;2;313604022.24;269366007.30;85.89;OK
12;AC;Acre;120042;Rodrigues Alves;2023;2;16091621.74;15845791.34;98.47;OK
12;AC;Acre;120043;Santa Rosa do Purus;2023;2;5471964.39;5293074.77;96.73;OK
12;AC;Acre;120050;Sena Madureira;2023;2;37465938.85;23425561.20;62.52;OK
12;AC;Acre;120045;Senador Guiomard;2023;2;19587809.98;19570301.81;99.91;OK
12;AC;Acre;120060;Tarauacá;2023;2;27523803.30;24418581.77;88.72;OK
12;AC;Acre;120070;Xapuri;2023;2;17655817.93;15020177.56;85.07;OK
27;AL;Alagoas;270020;Anadia;2023;2;21408528.57;7512973.19;35.09;OK
27;AL;Alagoas;270030;Arapiraca;2023;2;330229076.24;99883718.27;30.25;OK
27;AL;Alagoas;270040;Atalaia;2023;2;45025172.72;16585430.10;36.84;OK
27;AL;Alagoas;270050;Barra de Santo Antônio;2023;2;18739050.41;17561595.65;93.72;OK
27;AL;Alagoas;270060;Barra de São Miguel;2023;2;17737102.67;5861416.73;33.05;OK
27;AL;Alagoas;270070;Batalha;2023;2;26701206.84;12492035.30;46.78;OK
27;AL;Alagoas;270090;Belo Monte;2023;2;9758158.18;3414434.70;34.99;OK
27;AL;Alagoas;270080;Belém;2023;2;7395784.65;3585765.23;48.48;OK
27;AL;Alagoas;270100;Boca da Mata;2023;2;27365639.35;20210293.52;73.85;OK
27;AL;Alagoas;270110;Branquinha;2023;2;18051193.82;8378530.07;46.42;OK
27;AL;Alagoas;270120;Cacimbinhas;2023;2;14646697.58;5475114.61;37.38;OK
27;AL;Alagoas;270130;Cajueiro;2023;2;24187417.06;13934963.36;57.61;OK
27;AL;Alagoas;270135;Campestre;2023;2;11546637.18;1700712.59;14.73;OK
27;AL;Alagoas;270140;Campo Alegre;2023;2;50862291.64;15383658.11;30.25;OK
27;AL;Alagoas;270150;Campo Grande;2023;2;8348270.56;4731272.31;56.67;OK
27;AL;Alagoas;270160;Canapi;2023;2;20702999.27;9875897.69;47.70;OK
27;AL;Alagoas;270170;Capela;2023;2;26502869.81;17150396.25;64.71;OK
27;AL;Alagoas;270180;Carneiros;2023;2;11459903.30;4638780.03;40.48;OK
27;AL;Alagoas;270190;Chã Preta;2023;2;10785402.85;9802495.45;90.89;OK
27;AL;Alagoas;270200;Coité do Nóia;2023;2;12707087.19;5153855.60;40.56;OK
27;AL;Alagoas;270210;Colônia Leopoldina;2023;2;22281131.47;6913749.89;31.03;OK
27;AL;Alagoas;270220;Coqueiro Seco;2023;2;9546250.66;3206764.95;33.59;OK
27;AL;Alagoas;270230;Coruripe;2023;2;85553662.20;24808399.54;29.00;OK
27;AL;Alagoas;270235;Craíbas;2023;2;29859540.36;14498407.13;48.56;OK
27;AL;Alagoas;270240;Delmiro Gouveia;2023;2;59048769.37;16440627.20;27.84;OK
27;AL;Alagoas;270250;Dois Riachos;2023;2;15285486.12;7111309.17;46.52;OK
27;AL;Alagoas;270255;Estrela de Alagoas;2023;2;18418605.18;14535572.09;78.92;OK
27;AL;Alagoas;270260;Feira Grande;2023;2;22426380.86;10843554.15;48.35;OK
27;AL;Alagoas;270270;Feliz Deserto;2023;2;8505909.37;7912073.12;93.02;OK
27;AL;Alagoas;270280;Flexeiras;2023;2;20679119.15;6729485.75;32.54;OK
27;AL;Alagoas;270290;Girau do Ponciano;2023;2;30380290.31;8662159.66;28.51;OK
27;AL;Alagoas;270300;Ibateguara;2023;2;17259813.06;6447125.99;37.35;OK
27;AL;Alagoas;270310;Igaci;2023;2;29335240.52;8562521.10;29.19;OK
27;AL;Alagoas;270320;Igreja Nova;2023;2;26425562.68;11160437.91;42.23;OK
27;AL;Alagoas;270330;Inhapi;2023;2;20054161.46;10038567.94;50.06;OK
27;AL;Alagoas;270340;Jacaré dos Homens;2023;2;9086866.54;7200318.53;79.24;OK
27;AL;Alagoas;270350;Jacuípe;2023;2;9694518.37;7205654.91;74.33;OK
27;AL;Alagoas;270360;Japaratinga;2023;2;12243918.51;7019008.81;57.33;OK
27;AL;Alagoas;270370;Jaramataia;2023;2;10363931.26;9833703.91;94.88;OK
27;AL;Alagoas;270375;Jequiá da Praia;2023;2;19464116.69;10787362.31;55.42;OK
27;AL;Alagoas;270380;Joaquim Gomes;2023;2;27937289.94;10415046.35;37.28;OK
27;AL;Alagoas;270390;Jundiá;2023;2;10729011.91;1980938.74;18.46;OK
27;AL;Alagoas;270400;Junqueiro;2023;2;36862623.84;16568976.05;44.95;OK
27;AL;Alagoas;270410;Lagoa da Canoa;2023;2;18885098.55;8705476.20;46.10;OK
27;AL;Alagoas;270420;Limoeiro de Anadia;2023;2;31606793.63;12230814.84;38.70;OK
27;AL;Alagoas;270430;Maceió;2023;2;1369568501.56;347484313.78;25.37;OK
27;AL;Alagoas;270440;Major Isidoro;2023;2;27218908.94;12456376.20;45.76;OK
